age,wrkclsgrp,edugrp,maritalgrp,occ,rel,racegrp,sex,capgain,caploss,hr,countrygrp,y
18.0,Private,3C,NotMarried,Other-service,Own-child,White,Male,0.0,0.0,20.0,US,<=50K
39.0,Private,2HS,Divorced,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40.0,US,<=50K
21.0,Private,3C,NotMarried,Other-service,Own-child,White,Female,0.0,1721.0,24.0,US,<=50K
22.0,Private,2HS,NotMarried,Other-service,Not-in-family,White,Male,14084.0,0.0,60.0,US,>50K
38.0,Private,1M,NotMarried,Exec-managerial,Not-in-family,White,Male,0.0,0.0,54.0,Amer,<=50K
21.0,Private,3C,NotMarried,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,US,<=50K
63.0,Private,2HS,Married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,US,<=50K
34.0,Gov,4BA,Married,Exec-managerial,Husband,White,Male,3103.0,0.0,50.0,US,>50K
42.0,Self-emp,2HS,Married,Exec-managerial,Husband,White,Male,5178.0,0.0,50.0,US,>50K
33.0,Private,2HS,Married,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,US,<=50K
30.0,Private,4BA,NotMarried,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,US,<=50K
39.0,Private,3C,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
26.0,Private,5MA,NotMarried,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
33.0,Private,2HS,NotMarried,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40.0,US,<=50K
47.0,Gov,2HS,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
41.0,Private,4BA,NotMarried,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,,<=50K
41.0,Self-emp,3C,Married,Craft-repair,Husband,White,Male,15024.0,0.0,60.0,US,>50K
19.0,Private,3C,NotMarried,Other-service,Own-child,White,Male,0.0,0.0,20.0,US,<=50K
46.0,Private,2HS,Separated,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
43.0,Private,2HS,Married,Sales,Husband,White,Male,0.0,0.0,48.0,US,<=50K
55.0,Private,3C,Married,Exec-managerial,Husband,White,Male,15024.0,0.0,45.0,US,>50K
46.0,Private,3C,Married,Tech-support,Husband,White,Male,0.0,0.0,40.0,US,<=50K
30.0,Private,2HS,Married,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Amer,<=50K
21.0,Private,3C,Separated,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
46.0,Private,3C,Married,Craft-repair,Husband,Other,Male,0.0,0.0,40.0,Amer,<=50K
17.0,,1M,NotMarried,,Own-child,White,Male,0.0,0.0,40.0,US,<=50K
41.0,Private,2HS,Married,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,US,<=50K
69.0,Self-emp,2HS,Married,Sales,Husband,White,Male,0.0,0.0,30.0,US,<=50K
50.0,Private,2HS,Married,Transport-moving,Husband,White,Male,0.0,0.0,40.0,US,<=50K
20.0,Private,3C,NotMarried,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
45.0,Self-emp,3C,Married,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,US,<=50K
23.0,Private,4BA,NotMarried,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
24.0,Private,3C,Separated,Other-service,Not-in-family,White,Male,0.0,1876.0,40.0,US,<=50K
44.0,Self-emp,2HS,Married,Craft-repair,Husband,White,Male,99999.0,0.0,50.0,,>50K
31.0,Self-emp,3C,Married,Craft-repair,Husband,White,Male,0.0,0.0,50.0,US,<=50K
43.0,Private,2HS,Separated,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,44.0,US,<=50K
20.0,Gov,1M,NotMarried,Other-service,Own-child,White,Female,0.0,0.0,10.0,US,<=50K
55.0,Private,2HS,Married,Sales,Husband,White,Male,0.0,0.0,56.0,US,>50K
24.0,Gov,3C,NotMarried,Armed-Forces,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
41.0,,5MA,Married,,Wife,White,Female,7688.0,0.0,10.0,US,>50K
59.0,Private,4BA,NotMarried,Exec-managerial,Not-in-family,White,Female,0.0,0.0,25.0,US,<=50K
49.0,Gov,1M,NotMarried,Other-service,Not-in-family,Black,Male,0.0,0.0,20.0,US,<=50K
33.0,Private,5MA,Married,Prof-specialty,Wife,White,Female,5178.0,0.0,10.0,US,>50K
59.0,Gov,4BA,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
34.0,Private,5MA,NotMarried,Other-service,Not-in-family,Other,Male,0.0,0.0,40.0,US,<=50K
20.0,Private,2HS,NotMarried,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,US,<=50K
25.0,Private,4BA,NotMarried,Exec-managerial,Own-child,White,Female,0.0,0.0,40.0,US,<=50K
49.0,Private,1M,Married,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,US,<=50K
59.0,Private,2HS,Married,Transport-moving,Husband,White,Male,0.0,0.0,40.0,US,>50K
20.0,Private,2HS,NotMarried,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
51.0,,3C,Married,,Wife,White,Female,0.0,0.0,18.0,US,<=50K
33.0,Private,3C,NotMarried,Adm-clerical,Unmarried,Black,Female,0.0,0.0,35.0,US,<=50K
22.0,Private,3C,NotMarried,Transport-moving,Own-child,Black,Male,0.0,0.0,39.0,US,<=50K
58.0,Self-emp,1M,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
52.0,Gov,2HS,Widowed,Adm-clerical,Unmarried,White,Female,0.0,0.0,28.0,US,<=50K
36.0,Private,1M,Separated,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
41.0,Gov,2HS,Married,Protective-serv,Husband,White,Male,0.0,0.0,40.0,US,<=50K
28.0,Private,2HS,NotMarried,Transport-moving,Own-child,White,Male,2597.0,0.0,40.0,US,<=50K
19.0,Private,3C,NotMarried,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,16.0,US,<=50K
18.0,Private,2HS,NotMarried,Other-service,Not-in-family,White,Female,0.0,0.0,28.0,US,<=50K
18.0,Private,2HS,NotMarried,Machine-op-inspct,Own-child,White,Female,0.0,0.0,48.0,US,<=50K
28.0,Private,3C,Married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,US,<=50K
29.0,Private,3C,Married,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,US,>50K
20.0,,2HS,NotMarried,,Own-child,White,Female,0.0,0.0,20.0,US,<=50K
40.0,Private,3C,Married,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,US,<=50K
26.0,Private,2HS,NotMarried,Handlers-cleaners,Unmarried,White,Male,0.0,0.0,40.0,US,<=50K
46.0,Private,2HS,Married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,US,<=50K
23.0,Private,1M,NotMarried,Other-service,Not-in-family,White,Female,0.0,0.0,24.0,US,<=50K
44.0,Private,2HS,NotMarried,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,US,<=50K
43.0,Private,4BA,Divorced,Sales,Unmarried,White,Female,0.0,0.0,40.0,US,>50K
31.0,Gov,4BA,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,60.0,US,<=50K
18.0,Private,3C,NotMarried,Sales,Own-child,White,Female,0.0,0.0,25.0,US,<=50K
19.0,Private,3C,NotMarried,Protective-serv,Own-child,White,Male,0.0,0.0,30.0,US,<=50K
41.0,Private,3C,Divorced,Tech-support,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
41.0,Private,2HS,Divorced,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,40.0,US,<=50K
69.0,Private,2HS,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,25.0,US,<=50K
48.0,Gov,6PHD,Married,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,US,>50K
28.0,Private,2HS,NotMarried,Prof-specialty,Own-child,White,Male,0.0,0.0,40.0,US,<=50K
27.0,Self-emp,2HS,Married,Craft-repair,Husband,White,Male,0.0,0.0,60.0,UKCA,>50K
41.0,Private,5MA,Married,Prof-specialty,Husband,White,Male,0.0,2415.0,50.0,US,>50K
41.0,Private,3C,Married,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,US,<=50K
24.0,Private,2HS,NotMarried,Craft-repair,Unmarried,Black,Female,0.0,0.0,40.0,US,<=50K
20.0,,2HS,NotMarried,,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
42.0,Self-emp,6PHD,Married,Prof-specialty,Husband,White,Male,0.0,0.0,41.0,US,>50K
57.0,Private,2HS,Married,Craft-repair,Husband,Black,Male,0.0,0.0,48.0,US,<=50K
30.0,Private,3C,NotMarried,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
36.0,Private,2HS,Married,Sales,Husband,White,Male,0.0,0.0,60.0,US,>50K
49.0,Private,1M,Married,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,US,<=50K
33.0,Private,2HS,Married,Machine-op-inspct,Wife,White,Female,0.0,0.0,35.0,US,<=50K
23.0,Private,1M,Married,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,US,<=50K
46.0,Private,5MA,Married,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,US,<=50K
18.0,Private,3C,NotMarried,Adm-clerical,Own-child,Other,Female,0.0,0.0,22.0,EU,<=50K
40.0,Private,2HS,Married,Exec-managerial,Husband,White,Male,7688.0,0.0,55.0,US,>50K
43.0,Self-emp,2HS,Married,Exec-managerial,Husband,White,Male,0.0,1887.0,45.0,US,>50K
34.0,Private,5MA,NotMarried,Prof-specialty,Own-child,White,Female,0.0,0.0,30.0,US,<=50K
47.0,Self-emp,2HS,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,30.0,US,<=50K
44.0,Private,3C,Widowed,Exec-managerial,Unmarried,White,Female,0.0,0.0,30.0,US,<=50K
33.0,Private,2HS,Married,Sales,Husband,White,Male,0.0,0.0,40.0,US,>50K
55.0,Private,4BA,Married,Exec-managerial,Husband,White,Male,15024.0,0.0,50.0,US,>50K
19.0,Private,2HS,NotMarried,Sales,Not-in-family,White,Male,2907.0,0.0,30.0,US,<=50K
28.0,Private,3C,NotMarried,Other-service,Not-in-family,Black,Male,0.0,0.0,14.0,US,<=50K
27.0,Private,1M,Married,Other-service,Wife,Black,Female,0.0,0.0,32.0,US,<=50K
50.0,Private,1M,Married,Machine-op-inspct,Husband,White,Male,0.0,0.0,20.0,US,<=50K
22.0,Private,1M,NotMarried,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,US,<=50K
40.0,Gov,4BA,Married,Adm-clerical,Husband,White,Male,0.0,1887.0,45.0,US,>50K
25.0,Private,3C,NotMarried,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,US,<=50K
26.0,Gov,2HS,NotMarried,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
22.0,Private,4BA,NotMarried,Sales,Not-in-family,White,Male,0.0,0.0,25.0,US,<=50K
42.0,Private,3C,NotMarried,Handlers-cleaners,Unmarried,Black,Female,0.0,625.0,40.0,US,<=50K
38.0,Self-emp,4BA,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
55.0,Private,1M,Married,Other-service,Husband,White,Male,0.0,0.0,30.0,US,<=50K
32.0,Private,2HS,Married,Sales,Husband,White,Male,0.0,0.0,40.0,US,<=50K
22.0,Private,2HS,Married,Craft-repair,Husband,White,Male,0.0,0.0,45.0,US,<=50K
29.0,Private,4BA,NotMarried,Sales,Own-child,White,Male,0.0,0.0,40.0,US,<=50K
46.0,Gov,5MA,Married,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,US,>50K
31.0,Private,3C,Married,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,US,>50K
58.0,Self-emp,6PHD,Married,Prof-specialty,Husband,White,Male,0.0,0.0,16.0,US,>50K
42.0,Private,2HS,Married,Craft-repair,Husband,White,Male,0.0,0.0,45.0,US,<=50K
18.0,Private,2HS,NotMarried,Handlers-cleaners,Unmarried,White,Male,0.0,0.0,25.0,US,<=50K
58.0,Gov,2HS,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,33.0,US,<=50K
54.0,Private,2HS,Married,Prof-specialty,Husband,White,Male,0.0,1887.0,40.0,US,>50K
34.0,Private,5MA,NotMarried,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
26.0,Private,4BA,NotMarried,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
61.0,Private,1M,Married,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,US,<=50K
48.0,Gov,5MA,Separated,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,US,<=50K
36.0,Private,3C,Married,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,US,>50K
24.0,Private,3C,Married,Machine-op-inspct,Husband,White,Male,0.0,0.0,45.0,US,<=50K
40.0,Private,3C,Married,Machine-op-inspct,Husband,White,Male,0.0,0.0,37.0,US,<=50K
33.0,Self-emp,2HS,Married,Sales,Husband,White,Male,0.0,0.0,50.0,US,>50K
37.0,Private,3C,Married,Machine-op-inspct,Husband,White,Male,0.0,1887.0,40.0,US,>50K
34.0,Private,5MA,NotMarried,Exec-managerial,Own-child,White,Male,4650.0,0.0,40.0,US,<=50K
56.0,Self-emp,3C,Married,Exec-managerial,Husband,White,Male,15024.0,0.0,40.0,US,>50K
28.0,,2HS,Married,,Own-child,White,Female,0.0,0.0,38.0,US,>50K
37.0,Private,4BA,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,55.0,US,<=50K
44.0,Private,2HS,Divorced,Sales,Unmarried,Black,Female,0.0,0.0,40.0,US,<=50K
64.0,,3C,Married,,Husband,White,Male,0.0,0.0,8.0,US,<=50K
54.0,Private,2HS,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,45.0,US,<=50K
23.0,Private,2HS,NotMarried,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,50.0,US,<=50K
34.0,Gov,4BA,NotMarried,Farming-fishing,Not-in-family,Black,Male,0.0,0.0,40.0,,<=50K
22.0,Private,2HS,NotMarried,Other-service,Not-in-family,White,Female,0.0,0.0,45.0,US,<=50K
33.0,Private,4BA,Married,Exec-managerial,Husband,White,Male,0.0,1977.0,40.0,US,>50K
39.0,Private,4BA,Separated,Prof-specialty,Not-in-family,White,Male,0.0,0.0,50.0,US,>50K
47.0,Private,3C,Divorced,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,37.0,US,<=50K
79.0,,1M,Widowed,,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
26.0,Private,2HS,NotMarried,Prof-specialty,Unmarried,Black,Female,0.0,0.0,55.0,US,<=50K
31.0,Private,3C,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,US,<=50K
44.0,Private,3C,NotMarried,Transport-moving,Not-in-family,White,Male,0.0,0.0,45.0,US,<=50K
42.0,Self-emp,5MA,Married,Prof-specialty,Wife,White,Female,0.0,0.0,50.0,US,>50K
19.0,Private,2HS,NotMarried,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
27.0,Private,2HS,Married,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,US,>50K
51.0,Gov,3C,Married,Protective-serv,Husband,White,Male,0.0,0.0,40.0,US,>50K
28.0,Self-emp,4BA,Married,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,US,<=50K
57.0,Private,4BA,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,45.0,US,<=50K
45.0,Gov,4BA,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,US,<=50K
50.0,Private,3C,Married,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,US,>50K
34.0,Self-emp,4BA,Married,Sales,Husband,White,Male,0.0,0.0,54.0,US,<=50K
45.0,Private,1M,Married,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,US,<=50K
73.0,Gov,2HS,Married,Exec-managerial,Husband,White,Male,0.0,0.0,20.0,US,<=50K
34.0,Private,4BA,Married,Prof-specialty,Wife,White,Female,0.0,0.0,50.0,US,>50K
31.0,Private,3C,Married,Sales,Husband,White,Male,0.0,0.0,55.0,US,>50K
19.0,Private,1M,NotMarried,Sales,Not-in-family,White,Male,0.0,0.0,12.0,US,<=50K
25.0,Private,3C,NotMarried,Other-service,Own-child,White,Female,0.0,0.0,50.0,US,<=50K
38.0,Gov,3C,Divorced,Craft-repair,Unmarried,White,Female,6497.0,0.0,40.0,US,<=50K
39.0,Private,4BA,Married,Transport-moving,Husband,White,Male,0.0,0.0,40.0,US,<=50K
23.0,Private,4BA,NotMarried,Tech-support,Own-child,Black,Female,0.0,0.0,32.0,US,<=50K
49.0,Private,2HS,Married,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,US,<=50K
33.0,Gov,2HS,NotMarried,Other-service,Not-in-family,White,Male,0.0,0.0,32.0,US,<=50K
21.0,Private,1M,NotMarried,Machine-op-inspct,Other-relative,White,Male,0.0,0.0,38.0,Amer,<=50K
31.0,Private,3C,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
23.0,Private,4BA,NotMarried,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45.0,US,<=50K
34.0,Private,4BA,Married,Adm-clerical,Husband,Other,Male,0.0,0.0,40.0,Asia,<=50K
25.0,Private,2HS,NotMarried,Machine-op-inspct,Not-in-family,Other,Female,0.0,0.0,40.0,Asia,<=50K
39.0,Private,2HS,NotMarried,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,US,<=50K
52.0,Self-emp,2HS,Married,Sales,Husband,White,Male,0.0,0.0,40.0,US,>50K
63.0,Gov,1M,Married,Transport-moving,Husband,White,Male,7688.0,0.0,40.0,US,>50K
41.0,Private,3C,Married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,US,<=50K
46.0,Private,4BA,Married,Prof-specialty,Husband,White,Male,15024.0,0.0,38.0,US,>50K
53.0,Gov,2HS,Married,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,US,<=50K
25.0,,1M,Separated,,Not-in-family,White,Female,1055.0,0.0,40.0,US,<=50K
77.0,,3C,Married,,Husband,White,Male,0.0,0.0,35.0,US,<=50K
18.0,Private,1M,NotMarried,Priv-house-serv,Own-child,White,Male,0.0,0.0,40.0,US,<=50K
38.0,Private,5MA,Married,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,US,<=50K
55.0,Private,5MA,NotMarried,Exec-managerial,Unmarried,Other,Female,0.0,0.0,50.0,Asia,<=50K
34.0,Private,2HS,Married,Tech-support,Husband,White,Male,0.0,0.0,40.0,US,>50K
80.0,Self-emp,2HS,Married,Other-service,Husband,White,Male,0.0,0.0,30.0,US,<=50K
34.0,Private,3C,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,60.0,US,<=50K
52.0,Private,3C,Married,Tech-support,Husband,White,Male,5013.0,0.0,40.0,US,<=50K
42.0,Private,2HS,NotMarried,Other-service,Unmarried,Black,Female,0.0,0.0,28.0,Amer,<=50K
26.0,Private,3C,NotMarried,Sales,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
31.0,Private,2HS,Married,Transport-moving,Husband,White,Male,0.0,0.0,40.0,US,<=50K
25.0,Gov,2HS,NotMarried,Other-service,Own-child,White,Female,0.0,0.0,35.0,US,<=50K
55.0,Self-emp,2HS,Married,Craft-repair,Husband,White,Male,0.0,2057.0,60.0,US,<=50K
19.0,Private,3C,NotMarried,Other-service,Own-child,White,Female,0.0,0.0,12.0,US,<=50K
62.0,Self-emp,3C,Married,Transport-moving,Husband,White,Male,0.0,0.0,32.0,US,<=50K
22.0,Gov,3C,NotMarried,Adm-clerical,Own-child,White,Female,0.0,0.0,20.0,US,<=50K
39.0,,2HS,Married,,Wife,White,Female,0.0,0.0,50.0,US,<=50K
35.0,Private,2HS,Married,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,US,<=50K
28.0,Private,2HS,Married,Sales,Own-child,White,Female,0.0,0.0,40.0,US,<=50K
47.0,Private,2HS,Married,Transport-moving,Husband,White,Male,0.0,0.0,70.0,US,>50K
44.0,Gov,2HS,Married,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,US,<=50K
21.0,Private,3C,NotMarried,Sales,Own-child,White,Male,0.0,0.0,15.0,US,<=50K
35.0,Private,3C,NotMarried,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,US,<=50K
24.0,Private,4BA,Married,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,US,>50K
42.0,Gov,4BA,NotMarried,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,,<=50K
28.0,Private,4BA,NotMarried,Tech-support,Own-child,White,Male,0.0,0.0,50.0,US,<=50K
21.0,Private,3C,NotMarried,Machine-op-inspct,Other-relative,White,Male,0.0,0.0,35.0,US,<=50K
62.0,Gov,3C,Divorced,Tech-support,Not-in-family,Black,Male,4650.0,0.0,40.0,US,<=50K
39.0,Private,2HS,NotMarried,Other-service,Not-in-family,Black,Female,0.0,0.0,40.0,US,<=50K
30.0,Gov,2HS,NotMarried,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
72.0,Self-emp,5MA,NotMarried,Prof-specialty,Not-in-family,White,Male,0.0,1429.0,20.0,US,<=50K
50.0,Private,3C,Married,Exec-managerial,Wife,White,Female,0.0,0.0,50.0,US,<=50K
28.0,Gov,5MA,NotMarried,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
29.0,Private,3C,NotMarried,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
26.0,Private,4BA,NotMarried,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,US,<=50K
27.0,Private,5MA,NotMarried,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,US,<=50K
29.0,Private,3C,Married,Handlers-cleaners,Husband,White,Male,3103.0,0.0,40.0,US,>50K
61.0,,2HS,Married,,Husband,White,Male,0.0,0.0,40.0,US,<=50K
29.0,Private,1M,Married,Craft-repair,Husband,White,Male,0.0,0.0,25.0,US,<=50K
21.0,,3C,NotMarried,,Own-child,White,Female,0.0,0.0,30.0,US,<=50K
